u,v,key,osmid,highway,ref,oneway,reversed,length,geometry,name,lanes,maxspeed,junction
364099129,364099138,0,32343682,residential,,False,False,288.5807285114155,"LINESTRING (51.1623483 43.6414035, 51.1626117 43.6411452, 51.163075 43.6406764, 51.1635193 43.6402572, 51.164021 43.6397661, 51.16448 43.6393167)",5 микрорайон,,,
364099129,364099149,0,32343682,residential,,False,True,71.24955183763444,"LINESTRING (51.1623483 43.6414035, 51.1622717 43.641647, 51.1622947 43.6416911, 51.1623444 43.6417306, 51.1624873 43.6418082, 51.1625611 43.6418481, 51.1626656 43.6419048)",5 микрорайон,,,
364099129,1938284616,0,"[157647104, 1383051261, 1383051262]",residential,,False,"[False, True]",662.4669795943889,"LINESTRING (51.1623483 43.6414035, 51.1616533 43.6407615, 51.1614917 43.6406095, 51.1612438 43.6403906, 51.1611762 43.6403201, 51.1611454 43.6402547, 51.1610555 43.6400006, 51.1610034 43.6397476, 51.1609395 43.6394907, 51.1608988 43.6393513, 51.1607804 43.6392718, 51.1604672 43.6390914, 51.160089 43.6388935, 51.1600043 43.6388492, 51.1591426 43.6383983, 51.1588722 43.6382351, 51.158634 43.637995, 51.158881 43.6377446, 51.1591569 43.637465, 51.1596252 43.6372865, 51.1596559 43.6372548, 51.1599554 43.6369452)",5 микрорайон,,,
364099138,364099129,0,32343682,residential,,False,True,288.5807285114155,"LINESTRING (51.16448 43.6393167, 51.164021 43.6397661, 51.1635193 43.6402572, 51.163075 43.6406764, 51.1626117 43.6411452, 51.1623483 43.6414035)",5 микрорайон,,,
364099138,521806551,0,42036538,tertiary,,False,False,108.29594138517935,"LINESTRING (51.16448 43.6393167, 51.1638828 43.6390025, 51.1633915 43.638744)",улица Юбилейная,2,,
364099138,364099116,0,42036538,tertiary,,False,True,48.27523948483631,"LINESTRING (51.16448 43.6393167, 51.1647668 43.6394646, 51.1648937 43.63953, 51.1649686 43.6395686)",улица Юбилейная,2,,
364099149,4897123866,0,1281941360,secondary,,True,False,203.751697176754,"LINESTRING (51.1626656 43.6419048, 51.1641361 43.6404131)",проспект президента Республики Казахстан,2,,
364099149,364099129,0,32343682,residential,,False,False,71.24955183763444,"LINESTRING (51.1626656 43.6419048, 51.1625611 43.6418481, 51.1624873 43.6418082, 51.1623444 43.6417306, 51.1622947 43.6416911, 51.1622717 43.641647, 51.1623483 43.6414035)",5 микрорайон,,,
364099249,521806187,0,186806526,tertiary,,False,False,307.9863674076904,"LINESTRING (51.1554484 43.6469439, 51.1523537 43.6453139)",улица Каниша Сатбаева,3,,
364099249,364099286,0,32343687,residential,,False,False,175.98649718549808,"LINESTRING (51.1554484 43.6469439, 51.155081 43.6472923, 51.1545321 43.6478211, 51.154323 43.6480226, 51.1543247 43.6482537)",,,20,
364099249,1697322638,0,186806526,tertiary,,False,True,147.3359163225604,"LINESTRING (51.1554484 43.6469439, 51.1562097 43.6473267, 51.1566985 43.6475857, 51.156758 43.6476172, 51.1569421 43.6477102)",улица Каниша Сатбаева,3,,
